,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
10,-0.4653735,-0.43475717,-0.35380507,-0.7075258,-0.71550906,-0.7918089,-0.75303155,-0.72727275,-0.05488795,-0.14335993,-0.13563389,-0.14927088,-0.09602313,-0.11458418,-0.45470282,-0.70267886,-0.7604527,-0.16013685,-0.7923459,-0.76437324,-0.71410173,-0.48931044,-0.5605179,-0.06264736,-0.06041689,-0.06395755,-0.20682046,-0.15150066,-0.1529759,-0.13218015,-0.0679636,-0.118870504,-0.10849496,-0.18818599,-0.15089102,-0.19120136,-0.107764,-0.28858814,-0.14051841,-0.23030303,-0.10645214,-0.06459805,-0.0831183,0.02373581
11,-0.5420384,-0.545131,-0.5611867,-0.7216134,-0.686901,-0.7393015,-0.55445546,-0.7017021,-0.7372824,-0.32950506,-0.6252172,-0.5304348,-0.6290003,-0.65649045,-0.39978734,-0.68393534,-0.7419208,-0.39338338,-0.7686027,-0.7233984,-0.68154943,-0.5095576,-0.7479606,0.2325403,0.19628099,0.2445465,0.18171683,0.16666667,0.18518518,0.056149732,0.21546961,0.20180383,0.1969197,-0.036585364,-0.024727993,0.066,0.21568628,0.0,-0.029574862,0.085192695,0.18297872,0.19098713,0.20225988,0.29065743
12,-0.54943985,-0.56171876,-0.5745614,-0.7475766,-0.636507,-0.5155084,-0.4278337,-0.60384613,-0.7228579,-0.280681,-0.26396182,-0.40966627,-0.42837745,-0.70350546,-0.4357322,-0.5066276,-0.58595896,-0.44243845,-0.74600357,-0.32360923,-0.6606142,-0.46682823,-0.7255011,0.30898875,0.12474438,0.13953489,0.0867052,0.051948052,0.15052733,-0.07011686,-0.019900497,0.0489174,0.004622496,-0.02631579,-0.042821158,0.053283766,0.11556604,0.06625097,0.05623788,-0.022857143,0.099378884,0.11958763,0.051643193,0.38300106
13,-0.5216767,-0.46822742,-0.4386065,-0.6406808,-0.73392934,-0.6744695,-0.40675032,-0.7084864,-0.46752793,-0.27608496,-0.543028,-0.4742823,-0.588862,-0.4459026,-0.40295014,-0.59318423,-0.63038594,-0.33787048,-0.49955824,-0.50062525,-0.52315867,-0.38264963,-0.59110534,0.061137237,0.03324538,-0.031366296,-0.0047789724,-0.1106515,-0.08125,-0.0966317,-0.059681095,-0.10012063,-0.099139884,-0.17174178,-0.18221517,-0.16930023,-0.15325561,-0.16984732,-0.19115664,-0.1695443,-0.044126075,-0.032742888,-0.05785124,-0.0784234
14,-0.5783751,-0.59411764,-0.56970507,-0.7626958,-0.7586207,-0.78096163,-0.5612627,-0.72907156,-0.7655696,-0.2814921,-0.58658946,-0.5563363,-0.6758794,-0.66045547,-0.45640707,-0.7077364,-0.7459214,-0.3544764,-0.78282964,-0.73595685,-0.6762322,-0.46427405,-0.78185743,0.19094488,0.18333334,0.13440198,0.15092024,0.03404792,0.32337433,0.15816326,0.2662149,0.25408942,0.19688542,-0.015594542,-0.016267942,0.14026237,0.30893618,0.23308271,0.18046358,0.25762713,0.035545025,0.18066157,0.12125163,0.2869992
15,-0.5723944,-0.57127994,-0.5930867,-0.7302632,-0.72846186,-0.78205407,-0.5736646,-0.73892677,-0.7589937,-0.37123746,-0.5524203,-0.5447327,-0.6548999,-0.637122,-0.4227689,-0.6711485,-0.74311924,-0.38260058,-0.79286927,-0.7343558,-0.6656742,-0.49706075,-0.8020038,0.35783783,0.22670375,0.39232054,0.23731588,0.21450152,0.4192229,0.31543624,0.49118942,0.46415094,0.3943299,0.16213495,0.137577,0.35989377,0.40712467,0.38923654,0.34713763,0.3614907,0.16596931,0.26646706,0.20661157,0.2905526
16,-0.5184339,-0.57199365,-0.63072586,-0.75873953,-0.71186864,-0.7647593,-0.7207207,-0.72289956,-0.7430019,-0.3600475,-0.5677057,-0.5361915,-0.61707175,-0.6748912,-0.4000594,-0.6920301,-0.7924141,-0.35119432,-0.80742574,-0.7489802,-0.7078853,-0.48315343,-0.8309269,0.33413753,0.31958762,0.3392857,0.45736435,0.2224,0.44244984,0.50524735,0.57746476,0.50886077,0.4066194,0.21606949,0.22964509,0.27796236,0.4065934,0.38978493,0.25644505,0.44884038,0.12805755,0.2725,0.42431763,0.30720145
17,-0.51512355,-0.61904764,-0.595092,-0.7605075,-0.47424623,-0.58124834,-0.45887962,-0.7068087,-0.53856564,-0.3038918,-0.5696335,-0.5222672,-0.60216343,-0.6526098,-0.47007442,-0.65374213,-0.7669082,-0.4110517,-0.80589753,-0.7423984,-0.67437285,-0.25282124,-0.7768526,0.12854442,0.113381,0.0846395,0.10208333,0.04222222,0.24878049,0.07349666,0.21241513,0.24319066,0.20769231,0.044326242,0.06367713,0.19850187,0.1403162,0.07066796,0.15315315,0.16476683,-0.016129032,0.1002331,0.15649278,0.38985738
18,-0.5042109,-0.5476003,-0.5511723,-0.7344461,-0.68667567,-0.7382586,-0.72609156,-0.68170905,-0.71181387,-0.35062376,-0.52175087,-0.5367953,-0.5831787,-0.6315087,-0.4108723,-0.67632693,-0.744053,-0.41245675,-0.7756327,-0.7157215,-0.6487976,-0.4982912,-0.6999743,0.15052733,0.24459614,0.105968334,0.13513513,0.14254859,0.077731095,0.14429109,0.22814499,0.18870057,0.19098458,0.0021691974,-0.020044543,0.11111111,0.17790262,0.18709677,0.21970706,0.09635173,0.0725,0.09048179,0.21385902,0.19059613
19,-0.4600223,-0.49534884,-0.5159533,-0.701782,-0.6577422,-0.7305076,-0.6381814,-0.64066434,-0.68722075,-0.25080106,-0.511851,-0.45508802,-0.5311035,-0.5573574,-0.42366531,-0.65265924,-0.7240099,-0.38059187,-0.78238344,-0.6743666,-0.6021478,-0.42670062,-0.7350175,0.21129707,0.1849315,0.16888888,0.10981309,0.16414687,0.0025188916,0.023980815,-0.051478643,0.025751073,-0.018357487,-0.16425532,-0.1943286,0.013059702,0.16397229,0.0625,0.093333334,0.13179916,0.07749078,0.21553884,0.112097666,0.2319688
